Macpherson  Item #,Item Category,Mac  ID Reference,Description,UOM,Copic Item No/ UPC,Currency,Incremental MOQ
CME000-I,Copic Ciao,CME000-I,CIAO MRKR PALE FRUIT PINK,EA,4511338051313,USD,3
CME15-I,Copic Ciao,CME15-I,CIAO MRKR EARTHENWARE,EA,4511338051320,USD,3
CME18-I,Copic Ciao,CME18-I,CIAO MRKR COPPER,EA,4511338051337,USD,3
CME25-I,Copic Ciao,CME25-I,CIAO MRKR CARIBE COCOA,EA,4511338051344,USD,3
CME40-I,Copic Ciao,CME40-I,CIAO MRKR BRICK WHITE,EA,4511338051351,USD,3
CME41-I,Copic Ciao,CME41-I,CIAO MRKR PEARL WHITE,EA,4511338051368,USD,3
CME59-I,Copic Ciao,CME59-I,CIAO MRKR WALNUT,EA,4511338051375,USD,3
CME79-I,Copic Ciao,CME79-I,CIAO MRKR CASHEW,EA,4511338051382,USD,3
CMG29-I,Copic Ciao,CMG29-I,CIAO MRKR PINE TREE GREEN,EA,4511338051399,USD,3
CMG82-I,Copic Ciao,CMG82-I,CIAO MRKR SPRING DIM GREEN,EA,4511338051405,USD,3
CMR000-I,Copic Ciao,CMR000-I,CIAO MRKR CHERRY WHITE,EA,4511338051412,USD,3
CMR14-I,Copic Ciao,CMR14-I,CIAO MRKR LIGHT ROUGE,EA,4511338051429,USD,3
CMR81-I,Copic Ciao,CMR81-I,CIAO MRKR ROSE PINK,EA,4511338051436,USD,3
CMRV14-I,Copic Ciao,CMRV14-I,CIAO MRKR BEGONIA PINK,EA,4511338051443,USD,3
CMRV69-I,Copic Ciao,CMRV69-I,CIAO MRKR PEONY,EA,4511338051450,USD,3
CMV01-I,Copic Ciao,CMV01-I,CIAO MRKR HEATH,EA,4511338051467,USD,3
CMV05-I,Copic Ciao,CMV05-I,CIAO MRKR AZALEA,EA,4511338051474,USD,3
